id,username,dob,gender,fName,lName,otherTermsCategory,password,locLat,locLong,type,politicalRanking
f4a44f2d-8c85-4014-b720-3009518744b4,awhite2627,1985-05-06 14:00:00.000000,Female,Allison,White,0,AHS528$%,42.5803,-83.0302,google,4
22b052aa-9f17-4bbc-aed7-50e3f5701519,Phillipfranko44,1995-01-14 13:00:00.000000,Unknown,Phillip,Franco,4,Pf1234(),35.941772,-97.256474,google,4
d70a6620-2782-429d-9ae5-85c7043dbbd9,dansonmatthew,1999-02-26 13:00:00.000000,Male,Matthew,Danson,4,7rHTt4FCXJ6h5Hx,27.6648,-81.5158,google,0
92dd1a4b-16a0-43a9-a3aa-2dc80634469c,burgersa68,1985-07-22 14:00:00.000000,Male,Alison,Burgers,5,admin123!,44.638664,-63.59543100000001,google,0
b4baacd9-b729-412c-91f4-a52c429114d1,piasmith984,1996-08-03 14:00:00.000000,Female,Pia,Smith,0,wqYG35sTaqEMF98,41.409,-75.6624,google,0
d8c69867-b64d-4e3e-9a37-d3529656b5a0,lasquishadavis,1994-10-02 14:00:00.000000,Male,Lasquisha,Davis,1,HSKDJA172@%@,44.8113,-91.4985,google,0
715ff3ab-6bf8-4b3d-b5f6-9f93c6aefd4a,kanderso922,1976-12-02 13:00:00.000000,Male,Kevin,Anderson,5,HFLL46$%,35.2271,-80.8431,google,4
131723d9-8239-4b7f-b7a9-141e6db11f0c,hahnsursula,1957-08-25 14:00:00.000000,Female,Ursula,Hahns,3,KJHSDF*&$%(*33,42.5803,-83.0302,google,0
5295efdd-b48e-4372-8afa-d8a1ee34fda7,Joel.Trump.3546,1964-10-11 14:00:00.000000,Other,Joel,Trump,6,hi1234(),39.4651124,-118.7669531,google,0
9c57fd2d-501d-4d99-9b4e-35eff946dfc5,eliza.kane.3,1984-05-22 14:00:00.000000,Female,Eliza,Kane,2,A2IHNDjPu23SNEjfy4ts,29.270684399999997,-98.58073590000001,google,0
b56ae4e9-ae14-46fc-bf7f-01400d2eb4e3,goodwill.peter.8.3.4,1977-09-29 14:00:00.000000,Unknown,Peter,Goodwill,6,hi1234(),35.641781,-105.97642150000001,google,4
958723fa-a4cb-43b6-b53f-5bc439a1e014,stevensagnes677,1955-06-19 14:00:00.000000,Female,Agnes,Stevens,3,AKJHD97434%^%,41.2565,-95.9345,google,4
63ff44ab-d6f7-4ac3-b0af-a13b5cf8a598,Mel.Phillips.2454,1994-02-27 13:00:00.000000,Female,Mel,Phillips,0,hi1234(),39.2078612,-85.9153292,google,2
f7bd2258-a38e-4388-b05e-27c6c89956f6,damiandarsey,1985-04-20 14:00:00.000000,Male,Damian,DArcey,5,k3sDApFb6gKFsGK,33.4484,-112.074,google,4
80eabc8b-0172-4713-a1e5-57581663c074,jw1083888,1990-07-23 14:00:00.000000,Male,Jacob,Williamson,5,h5ht/:+7qf9&g/`c*g/a,44.818935499999995,-92.9189774,google,2
30de4b4f-5814-4910-ba34-c1fdc8b77949,ewaters213,1984-11-01 13:00:00.000000,Female,Elizabeth,Waters,1,MM8Q\=oks.p;nDFOeFe0,25.7907692,-80.22584570000002,google,0
81b818fc-87d2-482f-85e3-4763d973bdd1,williamsonoliver63,1982-03-23 13:00:00.000000,Male,Oliver,Williamson,4,CmJ-2yz-LGr-X29,41.409,-75.6624,google,4
670cae76-616f-4594-a84b-1ecf88eb7626,jf0895694,1972-02-24 13:00:00.000000,Male,Joe,Franco,6,Poi123(),40.6794652,-73.3846978,google,2
95fe2dc2-ff26-4279-8855-9d99b4e84529,tj8021671,1987-07-02 14:00:00.000000,Male,Terry,Johnson,5,2nxJPGUidV7a2fa,25.7617,-80.1918,google,4
7a8b4cc2-1cd0-4591-bcc7-8b4d1c440233,stangrand804,1972-11-01 13:00:00.000000,Male,Stanley,Grand,4,DLAKSJD(*(232,41.409,-75.6624,google,0
6c55ce18-16be-4974-bd3b-6f3724edca8b,georgjerome934,1989-09-04 14:00:00.000000,Male,Jerome,Georgeson,5,AJDKFH15383#^@^,41.2459,-75.8813,google,0
de60442d-fad2-45e4-83cb-beb4d9004443,amydivers407,1960-07-29 14:00:00.000000,Female,Amy,Divers,3,GSJDJ253$$,33.4484,-112.074,google,4
16a7cbe7-a53a-4907-848f-f7080c54e31b,mwest5078,1994-05-04 14:00:00.000000,Male,Mike,West,4,OQCtrUUpGCzfa1HyOhhZ,30.794852600000002,-86.6827337,google,4
1f5dbde8-3e27-4978-a00f-b7e0246f1774,m3428615,1978-08-06 14:00:00.000000,Male,Lachie,Marks,6,AFKHDF98734%^,44.5133,-88.0133,google,4
